id,name,city,iata,region
8319,Foothills Regional Airport,Morganton,MRN,New York
8320,Pike County-Hatcher Field,Pikeville,PVL,New York
8321,Mallards Landing Airport,Locust Grove,\N,New York
8322,Toccoa Airport - R.G. Letourneau Field,Toccoa,TOC,New York
8342,Fort Worth Alliance Airport,Fort Worth,AFW,Chicago
8343,East Troy Municipal Airport,East Troy,\N,Chicago
8366,Lawrence Municipal Airport,Lawrence,LWC,Chicago
8367,Wellington Municipal Airport,Wellington,\N,Chicago
8379,Pompano Beach Airpark,Pompano Beach,PPM,New York
8394,Shelby County Airport,Alabaster,\N,Chicago
8397,Sky Ranch At Carefree Airport,Carefree,\N,Phoenix
8409,Indianapolis Metropolitan Airport,Indianapolis,\N,New York
8410,London-Corbin Airport/Magee Field,London,LOZ,New York
8412,Simmons Army Air Field,Fredericksburg,FBG,New York
8430,John H Batten Airport,Racine,RAC,Chicago
8443,Redlands Municipal Airport,Redlands,\N,Los Angeles
8445,Flabob Airport,Riverside,\N,Los Angeles
8446,Tacoma Narrows Airport,Tacoma,TIW,Los Angeles
8460,Jack Edwards Airport,Gulf Shores,GUF,Chicago
8473,Hazleton Municipal Airport,Hazleton,HZL,New York
8474,Greater Cumberland Regional Airport,Cumberland,CBE,New York
8475,Sugar Loaf Shores Airport,Key West,\N,New York
8493,Tri-County Regional Airport,Lone Rock,LNR,Chicago
8494,Price County Airport,Phillips,\N,Chicago
8495,Monroe Municipal Airport,Monroe,\N,Chicago
8496,Joliet Regional Airport,Joliet,JOT,Chicago
8497,Illinois Valley Regional Airport-Walter A Duncan Field,Peru,VYS,Chicago
8499,Jackson County Reynolds Field,Jackson,JXN,New York
8502,Joseph A. Hardy Connellsville Airport,Connellsville,\N,New York
8503,Bedford County Airport,Bedford,\N,New York
8504,Wings Field,Philadelphia,BBX,New York
8505,Okeechobee County Airport,Okeechobee,OBE,New York
8506,Sebring Regional Airport,Sebring,SEF,New York
8507,Avon Park Executive Airport,Avon Park,AVO,New York
8508,Winter Haven Regional Airport - Gilbert Field,Winter Haven,GIF,New York
8509,Zephyrhills Municipal Airport,Zephyrhills,ZPH,New York
8510,Ocala International Airport - Jim Taylor Field,Ocala,OCF,New York
8511,Jesup Wayne County Airport,Jesup,\N,New York
8512,Madison Municipal Airport,Madison,\N,New York
8513,Newnan Coweta County Airport,Newnan,\N,New York
8514,Thomson-McDuffie County Airport,Thomson,\N,New York
8515,Aiken Regional Airport,Aiken,AIK,New York
8516,Woodward Field,Camden,CDN,New York
8517,Lumberton Regional Airport,Lumberton,LBT,New York
8519,Moore County Airport,Pinehurst-Southern Pines,SOP,New York
8520,Richmond County Airport,Rockingham,\N,New York
8524,Baraboo Wisconsin Dells Airport,Baraboo,\N,Chicago
8526,Statesville Regional Airport,Statesville,SVH,New York
8528,Burlington Municipal Airport,Burlington,\N,Chicago
8532,William T. Piper Memorial Airport,Lock Haven,LHV,New York
8538,Zelienople Municipal Airport,Zelienople,\N,New York
8542,Lorain County Regional Airport,Lorain-Elyria,\N,New York
8544,Burke Lakefront Airport,Cleveland,BKL,New York
8545,Chautauqua County-Dunkirk Airport,Dunkirk,DKK,New York
8548,South Jersey Regional Airport,Mount Holly,LLY,New York
8550,Linden Airport,Linden,LDJ,New York
8553,Tri State Steuben County Airport,Angola,ANQ,New York
8555,Warsaw Municipal Airport,Warsaw,\N,New York
8556,Van Wert County Airport,Van Wert,\N,New York
8559,Brooks Field,Marshall,\N,New York
8560,Genesee County Airport,Batavia,\N,New York
8565,Clearwater Air Park,Clearwater,CLW,New York
8593,Chicago Meigs Airport,Chicago,CGX,Chicago
8601,Pickens County Airport,Jasper,\N,New York
8604,Grand Strand Airport,North Myrtle Beach,CRE,New York
8606,Lansing Municipal Airport,Lansing,\N,Chicago
8608,Ramona Airport,Ramona,\N,Los Angeles
8624,Branch County Memorial Airport,Coldwater,\N,New York
8625,Wilkes Barre Wyoming Valley Airport,Wilkes-Barre,WBW,New York
8626,Willoughby Lost Nation Municipal Airport,Willoughby,LNN,New York
8631,Capital City Airport,Frankfort,FFT,New York
8632,Auburn Lewiston Municipal Airport,Lewiston,LEW,New York
8639,Bloyer Field,Tomah,\N,Chicago
8641,Marco Island Executive Airport,Marco Island Airport,MRK,New York
8644,Drummond Island Airport,Drummond Island,DRE,New York
8646,Gladwin Zettel Memorial Airport,Gladwin,GDW,New York
8648,South Haven Area Regional Airport,South Haven,\N,New York
8653,Marshfield Municipal Airport,Marshfield,MFI,Chicago
8654,Alexander Field South Wood County Airport,Wisconsin Rapids,ISW,Chicago
8655,Clinton Municipal Airport,Clinton,CWI,Chicago
8658,Beverly Municipal Airport,Beverly,BVY,New York
